University,Location,Subject chosen,Subject required,Minimum score (IAL),Minimum score (IB),Minimum score (DSE),,,,,,,,,,,,,,,,,
Imperial college london,United Kingdom,Chemical engineering,"chemistry, mathematics",2A*1A,776 (40),5*5*5,,,,,,,,,,,,,,,,,
Imperial college london,United Kingdom,mechanical engineering,"mathematics, physics",A*A*A/A*AAA,77 (40),5*5*5*5,,,,,,,,,,,,,,,,,
Imperial college london,United Kingdom,medicine,"biology, chemistry",3A,66 (38),5*55,,,,,,,,,,,,,,,,,
Imperial college london,United Kingdom,"economics, finance and data science",mathematics,1A*2A,766 (38),5*55,,,,,,,,,,,,,,,,,
Imperial college london,United Kingdom,mathematics and computer science,"mathematics, further maths/M2",2A*1A,77 (41),5*5*55,,,,,,,,,,,,,,,,,
University of Hong Kong,Hong Kong,economics and finance,M1/M2,3A/2A2B,34,32,,,,,,,,,,,,,,,,,
University of Hong Kong,Hong Kong,medicine and surgery,chemistry,3A*1A,43,42,,,,,,,,,,,,,,,,,
University of Hong Kong,Hong Kong,dentistry,"phy, chem, bio (either one)",2A*1A,41,42,,,,,,,,,,,,,,,,,
University of Hong Kong,Hong Kong,data science and engineering,N/A,N/A,N/A,27,,,,,,,,,,,,,,,,,
University of Sydney,Australia,Dental Medicine,N/A,44,23,30,,,,,,,,,,,,,,,,,
University of Sydney,Australia,Chemical and biomolecular engineering,N/A,31,14,19,,,,,,,,,,,,,,,,,
University of Sydney,Australia,Advanced Computing,N/A,33,16,20,,,,,,,,,,,,,,,,,
University of Sydney,Australia,Economics,N/A,31,14,19,,,,,,,,,,,,,,,,,
University of Sydney,Australia,Law and Science,N/A,38,28,14,,,,,,,,,,,,,,,,,
McGill University,Canada,Chemical engineering,"Math, Chem, Phy (Any 2)",3A,37,Level 3 for all subjects,,,,,,,,,,,,,,,,,
McGill University,Canada,Human Nutrition,"Math, Any science subjects",3B,30,Level 3 for all subjects,,,,,,,,,,,,,,,,,
McGill University,Canada,Management,Math,1A*2A,36,"4 for maths, 3 for others",,,,,,,,,,,,,,,,,
McGill University,Canada,Computer Engineering,"Math, Chem, Phy (Any 2)",3A,37,Level 3 for all subjects,,,,,,,,,,,,,,,,,
McGill University,Canada,Architecture,Math/Physics,3A,38,Level 3 for all subjects,,,,,,,,,,,,,,,,,
